"","EWS.T1","EWS.T2","EWS.T3","EWS.T4","EWS.T6","EWS.T7","EWS.T9","EWS.T11","EWS.T12","EWS.T13","EWS.T14","EWS.T15","EWS.T19","EWS.C8","EWS.C3","EWS.C2","EWS.C4","EWS.C6","EWS.C9","EWS.C7","EWS.C1","EWS.C11","EWS.C10","BL.C5","BL.C6","BL.C7","BL.C8","BL.C1","BL.C2","BL.C3","BL.C4","NB.C1","NB.C2","NB.C3","NB.C6","NB.C12","NB.C7","NB.C4","NB.C5","NB.C10","NB.C11","NB.C9","NB.C8","RMS.C4","RMS.C3","RMS.C9","RMS.C2","RMS.C5","RMS.C6","RMS.C7","RMS.C8","RMS.C10","RMS.C11","RMS.T1","RMS.T4","RMS.T2","RMS.T6","RMS.T7","RMS.T8","RMS.T5","RMS.T9","RMS.T3","RMS.T10","RMS.T11"
"1",3.2025,1.6547,3.2779,1.006,2.7098,2.0588,1.8483,2.714,2.3555,1.9291,3.6165,2.151,2.3123,1.0694,0.919,0.9248,2.6264,1.0786,1.0987,1.5822,2.167,0.3788,1.1144,0.2989,0.1856,0.1045,0.3178,0.1437,0.3493,0.3796,0.0683,1.2511,1.2422,0.7843,0.7208,1.7054,1.3452,0.6575,0.5909,1.2263,1.2744,0.9407,0.5555,2.7906,2.091,1.359,1.3682,1.2408,0.8505,1.4492,0.9687,1.541,2.4423,1.1145,3.4636,2.0816,3.1013,2.0272,2.2313,1.8594,2.5447,1.2705,1.2766,2.0298
"2",0.0681,0.071,0.116,0.1906,0.2367,0.0823,0.1234,0.1805,0.0792,0.252,0.1056,0.0966,0.1599,0.1971,0.1921,0.0893,0.0925,0.1775,0.1661,0.0564,0.0873,0.0956,0.143,0.0839,0.1283,0.0994,0.0494,0.0563,0.0557,0.064,0.1203,0.2242,0.1277,0.1423,0.0817,0.2167,0.1268,0.0779,0.1264,0.1296,0.0573,0.1279,0.1944,0.0713,0.3476,0.2839,0.1657,0.3377,0.3585,0.1631,0.924,0.0672,1.0272,1.382,1.2855,0.9137,0.391,0.5502,1.9247,0.524,0.5169,0.4657,0.777,0.7067
"3",1.046,1.0409,0.8926,0.4302,0.3693,0.9021,0.9983,0.4964,0.7614,0.5745,0.5833,0.4992,0.5786,1.6814,0.7856,1.511,1.8688,2.3458,2.0193,1.1455,0.6172,0.6757,1.8223,1.0989,1.7574,0.2362,0.9711,1.0739,1.8981,1.3961,0.5926,1.4717,2.89,1.1627,0.6389,1.5466,3.1923,1.397,0.3217,1.2785,1.2974,1.858,0.7071,0.9511,0.1682,0.157,0.7286,0.213,1.0315,0.3855,0.5635,0.6689,0.9393,0.2623,0.3355,0.5806,0.3937,0.3688,0.2943,0.6808,1.219,0.9344,0.2212,1.0439
"4",0.1243,0.052,0.1014,0.1035,0.219,0.1288,0.2203,0.2509,0.1868,0.1356,0.2796,0.2212,0.5062,1.269,0.0564,0.0593,0.1753,1.3135,1.2288,1.4999,0.0658,0.8683,0.9502,1.3145,1.3695,1.2625,1.2685,0.1198,0.1243,0.3185,0.1137,0.1005,0.1199,0.1469,1.6185,1.7928,1.547,0.9163,1.2627,1.1213,1.4351,1.3606,1.635,0.3558,0.2022,1.5814,1.4272,1.3211,1.3443,1.1194,0.0776,1.1397,0.109,0.0733,0.0893,0.0673,0.2905,0.3627,0.1762,0.3013,0.5151,0.068,0.1432,0.1016
"5",0.4941,0.2045,0.2818,0.2984,0.3711,0.3961,0.3766,0.4754,0.4167,0.3363,0.4452,0.4602,0.4554,0.2472,0.4109,0.5346,0.4294,0.1586,0.1544,0.1246,0.2961,0.1615,0.1378,0.3285,0.1284,0.1687,0.0573,0.3935,0.3372,0.462,0.6383,0.4352,0.4861,0.2977,0.1188,0.1924,0.1024,0.0945,0.1382,0.1177,0.0674,0.1523,0.1829,0.1352,0.3656,0.1815,0.1193,0.216,0.1611,0.1569,0.7674,0.0401,0.3764,0.5906,0.3219,0.6856,0.1113,0.6133,0.3855,0.4011,0.3405,0.393,0.1669,0.2147
"6",3.1207,2.1609,1.9773,1.6804,1.78,1.7199,1.7551,3.2509,2.8219,2.5935,3.0399,3.0351,11.62,1.1489,0.9729,1.056,2.5849,1.3881,1.334,1.1478,2.2883,0.7382,1.1266,0.753,0.5325,0.9698,1.0432,2.3396,2.005,2.1145,1.7212,2.8457,1.3993,2.5561,1.304,0.9871,0.674,0.8526,1.1709,1.7376,1.5479,1.3387,1.6884,5.1153,3.2805,1.2072,1.3472,0.7751,0.9409,0.9326,1.3956,0.575,2.4279,1.9687,2.3853,1.8688,5.6969,5.8139,5.3998,3.5232,2.6801,3.2629,0.4744,0.3269
"7",3.7106,2.4452,3.259,5.8901,3.2376,2.1729,3.4081,6.7448,4.9706,7.4107,4.2294,6.4574,10.751,6.2046,3.1877,4.1766,2.9856,3.4946,4.0799,5.6606,3.829,4.4752,6.3542,3.0222,4.8113,4.6305,3.7375,3.3334,4.5251,3.3524,3.8142,3.5181,2.9483,5.7054,5.4201,5.6752,4.1266,4.861,4.5579,4.0917,6.9131,4.7579,6.3929,4.5275,3.1708,5.8392,6.7501,5.3355,4.1688,6.9003,2.9697,6.1087,3.5452,4.3105,4.1111,4.0321,5.4799,7.029,7.1398,7.283,3.5938,4.8109,9.4915,17.533
"8",1.8416,1.1473,1.4106,0.2958,0.6769,1.5609,2.1932,0.7503,0.6702,1.3556,2.6029,0.821,1.2933,0.7368,1.0158,0.8867,2.2699,2.1629,2.139,1.4865,1.0587,0.8135,1.2681,2.2284,1.1472,0.6647,0.5825,1.0947,2.22,1.6359,1.2144,1.4148,0.8492,0.4446,0.6343,1.1375,0.7132,0.5911,0.5642,1.1463,0.6698,0.6328,0.6956,1.9746,1.3955,0.7691,1.1863,0.8716,1.3884,0.6942,1.9022,0.5264,2.1765,0.7899,1.9877,1.2707,1.538,0.6437,1.2459,0.9024,1.8769,1.5265,1.7763,2.2418
"9",1.2607,0.7371,0.9548,0.7381,0.8546,0.6581,1.0538,0.7499,1.0624,1.7671,0.9984,1.0826,0.6045,0.9485,1.2116,1.579,0.7523,1.0314,0.9617,1.0469,1.1429,1.1558,0.9509,1.4646,2.8207,2.2148,1.2009,2.2681,1.4484,1.6515,1.8208,0.5277,2.2907,1.7167,1.0464,1.4179,2.7042,0.5633,0.7576,3.5107,2.8599,1.8068,0.7471,0.8178,0.9163,0.7206,1.1563,0.9496,1.0322,1.2652,1.5636,0.7117,1.614,1.3615,0.9138,1.4253,0.763,0.5307,1.3112,1.9208,2.9759,1.5754,1.1851,1.7367
"10",2.9001,1.9989,2.0775,1.661,0.6808,1.5038,1.6069,1.0446,0.99,1.4207,2.0021,0.8797,0.9797,0.2887,1.6431,1.1724,2.704,1.3209,1.1458,1.422,1.7602,0.2076,0.7767,2.0438,2.6476,1.4568,1.6544,1.8761,2.7953,3.0725,1.8915,1.899,1.4719,0.9198,1.4198,2.2044,1.8135,1.0141,1.0629,1.3173,1.1249,1.7079,1.1799,2.1544,0.7854,0.4575,0.8752,1.0637,2.4309,1.0382,2.945,1.0343,2.9976,1.5409,2.851,2.1942,1.2827,2.2821,1.7709,0.845,0.9856,1.6006,1.293,1.3374
"11",4.027,2.6131,4.8139,4.9105,4.5104,6.7403,7.7609,6.946,6.6433,3.7253,7.6069,6.7003,6,6.2392,4.0098,3.1453,2.7589,3.0411,3.6694,5.444,4.4809,4.8653,5.6744,4.3938,4.5243,5.8249,5.6817,4.6666,5.2114,4.0503,4.6079,4.0354,3.67,7.2208,5.0586,5.3212,4.6734,3.8197,4.2099,4.17,5.8854,5.5536,6.8372,6.4353,5.5398,13.888,9.1206,3.6908,3.5395,6.2398,3.0304,7.6119,4.1001,4.8506,4.1698,4.2847,4.5412,12.345,6.5727,3.9057,4.8326,6.1921,9.0649,10.212
"12",1.0643,0.8541,0.4257,1.5866,0.6461,0.5342,0.5833,0.3676,0.7352,1.0554,0.6903,0.39,0.6652,0.26,0.5882,1.4633,1.086,0.6746,0.6574,0.6855,1.4823,0.4173,0.2298,0.5792,0.781,0.8217,0.8692,1.3787,1.1707,1.1413,1.3329,1.112,0.8421,1.0227,0.6836,0.6388,0.6405,0.8967,1.0187,0.9561,1.4018,0.9773,1.0464,0.5903,0.6557,0.1645,0.4667,0.6724,0.7535,0.9712,1.6819,0.672,1.2876,1.6389,1.1609,1.2851,0.6906,1.1853,1.1547,0.6986,0.9141,0.6941,0.9132,0.2497
"13",4.0651,4.7284,4.712,9.4802,3.6433,4.4317,3.7162,5.4842,4.8613,2.907,6.3467,9.1112,5.3163,3.5546,5.0274,4.7423,2.8508,3.2765,4.0182,6.2066,5.0831,4.2936,3.0927,4.1207,5.1979,4.6583,6.1956,4.8565,5.3438,4.2831,5.267,4.1241,4.3347,8.1078,5.307,4.6663,4.4612,4.018,4.355,4.3171,6.2662,5.8861,5.7972,7.9532,3.401,2.1182,2.8153,4.9389,3.2013,4.8309,4.0325,7.4534,4.0388,5.7691,5.7085,4.7374,7.6715,0.743,5.6365,5.7215,2.8262,4.9234,8.0781,10.841
"14",1.473,2.4784,2.7548,0.1667,1.7957,2.1063,2.3545,2.2406,1.8954,2.4842,2.5493,2.0127,4.2049,0.7175,0.8122,1.0082,2.6433,1.519,1.3479,1.4119,2.2664,0.9225,0.9711,1.9109,1.5108,1.2601,0.5194,0.7753,1.1817,1.9174,1.0445,1.0167,1.0457,0.8615,0.8863,1.6088,2.3634,1.3335,1.6561,1.469,1.3273,1.4239,1.6895,2.6238,1.1282,1.9386,1.7933,1.3746,1.8541,1.3126,1.2541,1.1213,3.4146,0.8221,2.9653,2.4743,2.1392,1.9496,3.4573,1.7486,2.5956,3.3361,2.7369,3.0672
"15",2.7932,1.5103,1.9162,1.1314,1.0375,1.2143,1.2411,1.2919,1.305,1.0325,1.3236,1.2615,1.3608,0.7993,1.0825,1.172,0.843,0.6794,0.6864,0.6724,1.0106,0.8511,0.7828,0.6045,0.5331,0.4699,0.5765,0.9937,1.4263,1.926,2.5944,1.5999,1.7363,0.8879,0.445,0.5874,0.6386,0.5451,0.4014,0.6193,0.5972,0.4883,0.7407,0.8047,1.0641,0.5851,0.556,0.5633,0.4074,0.7594,1.671,0.2976,1.3867,2.3174,1.7345,2.2183,1.3643,0.9684,1.631,1.1167,0.7618,2.352,0.7527,0.4168
"16",0.4815,0.8961,1.271,2.6361,0.3976,0.447,0.4862,0.5527,0.3385,0.5337,0.3137,0.6129,0.9559,0.8634,0.5843,0.7602,0.9571,1.0906,1.0555,0.4735,0.5796,1.7731,1.2362,0.3801,0.4887,0.3888,0.4765,0.292,0.529,0.7066,0.6452,0.7221,0.9662,0.6305,0.4121,0.4674,0.6779,0.6177,0.7268,0.8007,0.7646,0.5687,0.4621,0.1098,0.3795,0.3009,0.8787,0.4801,0.4198,0.4759,1.5859,0.1707,1.5418,0.5641,1.1029,0.2268,0.6774,1.578,1.802,0.3983,1.0636,0.8284,0.9859,0.5492
"17",1.4482,0.485,1.1331,0.8405,0.8846,0.6145,1.3077,1.0709,0.9324,1.2379,0.6509,1.0615,0.9589,1.7721,1.0044,1.3846,0.6535,1.1475,1.1801,1.0372,1.2051,2.1763,1.234,0.8015,0.901,0.6565,0.6765,0.578,0.8016,0.7644,0.6444,1.3726,1.5,1.0087,0.9492,1.2373,1.0508,1.9175,1.4851,2.341,1.609,1.2547,1.3793,1.103,0.5148,0.5006,0.9796,0.8926,1.0663,1.6876,1.735,1.0015,1.2251,1.3316,1.1838,1.171,0.4307,0.313,1.3791,0.4677,0.9265,0.5483,1.1421,0.5605
"18",3.3214,2.3431,2.4818,0.9928,1.5156,1.5285,2.9401,2.7325,2.4357,1.2878,1.3291,1.6972,1.5706,2.0077,4.3593,5.1954,1.5728,3.15,3.6222,1.3927,3.5421,4.6796,3.1611,1.4196,1.6072,2.74,2.5685,3.7927,3.2335,3.7342,2.9152,2.4937,2.3828,2.419,1.9411,1.2486,2.0868,1.805,0.5085,3.294,3.6608,1.6451,3.1514,3.0199,2.4869,1.845,2.4325,1.2052,3.4737,1.3011,2.8801,1.145,1.8263,2.6872,2.5574,2.6622,1.2983,1.2249,1.5262,1.8998,0.7847,1.3724,0.5216,1.4822
